No.,VCC,M_V,M_Z,R_P,R_3D,L_z,M,N_GC,SN,SN_z,T,SL,SM,SN_z_blue,SN_z_red,T_blue,T_red,f_red,
1,1226,-22.9,-23.87,1.27,1.28 +- 0.39,263.04,531.84 +- 110.48,7813 +- 830,5.40 +- 0.57,2.20 +- 0.23,14.7 +- 3.4,1.23 +- 0.01,0.87 +- 0.18,1.57 +- 0.19,0.64 +- 0.14,10.4 +- 2.5,4.3 +- 1.3,0.29,
2,1316,-22.66,-23.86,0,0,188.4,302.27 +- 79.13,14660 +- 891,12.59 +- 0.77,4.19 +- 0.25,48.5 +- 13.0,2.33 +- 0.02,2.83 +- 0.74,3.04 +- 0.21,1.14 +- 0.15,35.2 +- 9.5,13.2 +- 3.9,0.27,
3,1978,-22.41,-23.42,0.94,1.04 +- 0.46,167.62,339.32 +- 50.28,4745 +- 1099,5.16 +- 1.20,2.03 +- 0.47,14.0 +- 3.8,1.15 +- 0.02,0.84 +- 0.12,1.28 +- 0.38,0.75 +- 0.27,8.8 +- 2.9,5.2 +- 2.0,0.37,
4,881,-22.54,-23.53,0.36,1.49 +- 0.42,181.42,289.63 +- 59.87,2660 +- 129,2.57 +- 0.12,1.03 +- 0.05,9.2 +- 1.9,0.56 +- 0.01,0.49 +- 0.10,0.87 +- 0.04,0.16 +- 0.03,7.7 +- 1.6,1.5 +- 0.4,0.16,
5,798,-22.34,-23.25,1.71,2.09 +- 0.42,132.84,186.50 +- 43.84,1110 +- 181,1.29 +- 0.21,0.56 +- 0.09,6.0 +- 1.7,0.20 +- 0.01,0.21 +- 0.05,0.33 +- 0.07,0.23 +- 0.05,3.5 +- 1.1,2.4 +- 0.8,0.41,
6,763,-22.29,-23.2,0.43,2.09 +- 0.44,141.95,236.49 +- 61.04,4301 +- 1201,5.20 +- 1.45,2.26 +- 0.63,18.2 +- 6.9,1.11 +- 0.03,0.89 +- 0.23,2.01 +- 0.51,0.24 +- 0.37,16.2 +- 5.9,2.0 +- 3.0,0.11,
7,731,-22.31,-23.37,1.53,6.76 +- 0.54,141.76,226.21 +- 52.45,3246 +- 598,3.86 +- 0.71,1.45 +- 0.27,14.3 +- 4.2,0.85 +- 0.02,0.86 +- 0.20,0.80 +- 0.22,0.65 +- 0.16,7.9 +- 2.8,6.5 +- 2.2,0.45,
8,1535,-21.38,-22.4,1.37,,57.88,77.21 +- 16.21,388 +- 117,1.09 +- 0.33,0.42 +- 0.13,5.0 +- 1.8,0.20 +- 0.00,0.25 +- 0.05,0.26 +- 0.10,0.16 +- 0.07,3.1 +- 1.4,1.9 +- 1.0,0.38,
9,1903,-21.18,-22.19,0.82,1.87 +- 0.35,50.26,83.87 +- 19.10,803 +- 355,2.70 +- 1.19,1.07 +- 0.47,9.6 +- 4.8,0.68 +- 0.01,0.61 +- 0.14,0.55 +- 0.38,0.52 +- 0.27,4.9 +- 3.6,4.7 +- 2.7,0.49,
10,1632,-21.36,-22.33,0.34,0.63 +- 0.38,60.33,95.35 +- 16.89,984 +- 198,2.82 +- 0.57,1.15 +- 0.23,10.3 +- 2.8,0.65 +- 0.01,0.61 +- 0.11,0.69 +- 0.19,0.46 +- 0.14,6.2 +- 2.0,4.1 +- 1.4,0.4,
11,1231,-20.7,-21.58,0.31,1.30 +- 0.36,32.37,53.46 +- 12.30,376 +- 97,1.98 +- 0.51,0.88 +- 0.23,7.0 +- 2.4,0.32 +- 0.01,0.28 +- 0.06,0.50 +- 0.18,0.38 +- 0.13,4.0 +- 1.7,3.0 +- 1.3,0.43,
12,2095,-20.78,-20.95,1.59,,33.74,52.75 +- 10.12,211 +- 34,1.03 +- 0.17,0.88 +- 0.14,4.0 +- 1.0,0.16 +- 0.00,0.14 +- 0.03,0.52 +- 0.11,0.35 +- 0.08,2.4 +- 0.7,1.6 +- 0.5,0.4,
13,1154,-20.85,-21.79,0.47,0.66 +- 0.38,36.86,77.95 +- 13.64,218 +- 28,1.00 +- 0.13,0.42 +- 0.05,2.8 +- 0.6,0.12 +- 0.00,0.09 +- 0.02,0.22 +- 0.04,0.20 +- 0.03,1.5 +- 0.4,1.3 +- 0.3,0.48,
14,1062,-20.56,-21.34,0.77,1.42 +- 0.36,28.65,52.69 +- 8.88,178 +- 30,1.06 +- 0.18,0.52 +- 0.09,3.4 +- 0.8,0.21 +- 0.00,0.16 +- 0.03,0.52 +- 0.07,0.00 +- 0.05,3.4 +- 0.7,0.0 +- 0.3,0,
15,2092,-20.46,-21.64,1.54,1.61 +- 0.38,25.55,47.32 +- 7.66,103 +- 17,0.68 +- 0.11,0.23 +- 0.04,2.2 +- 0.5,0.08 +- 0.00,0.07 +- 0.01,0.13 +- 0.03,0.09 +- 0.02,1.3 +- 0.4,0.9 +- 0.3,0.39,
16,369,-20.19,-20.41,0.79,1.04 +- 0.37,20.17,32.46 +- 7.67,179 +- 17,1.51 +- 0.14,1.23 +- 0.12,5.5 +- 1.4,0.28 +- 0.01,0.25 +- 0.06,0.58 +- 0.09,0.65 +- 0.08,2.6 +- 0.7,2.9 +- 0.8,0.53,
17,759,-20.44,-21.41,0.46,0.60 +- 0.40,25.74,45.15 +- 10.04,200 +- 41,1.34 +- 0.27,0.54 +- 0.11,4.4 +- 1.3,0.24 +- 0.00,0.20 +- 0.05,0.35 +- 0.09,0.19 +- 0.07,2.9 +- 1.0,1.6 +- 0.6,0.35,
18,1692,-20.26,-21.04,1.54,1.64 +- 0.40,21.85,33.97 +- 6.55,139 +- 23,1.09 +- 0.18,0.53 +- 0.09,4.1 +- 1.0,0.16 +- 0.01,0.16 +- 0.03,0.34 +- 0.07,0.19 +- 0.05,2.6 +- 0.7,1.5 +- 0.5,0.36,
19,1030,-20.45,-21.38,0.3,0.33 +- 0.39,22.63,13.32 +- 9.05,345 +- 80,2.27 +- 0.53,0.97 +- 0.22,25.9 +- 18.6,0.40 +- 0.01,1.06 +- 0.72,0.73 +- 0.18,0.24 +- 0.13,19.5 +- 14.1,6.4 +- 5.6,0.25,
20,2000,-19.6,-20.66,1.03,2.03 +- 0.35,11.71,23.76 +- 4.10,205 +- 28,2.97 +- 0.41,1.12 +- 0.15,8.6 +- 1.9,0.53 +- 0.01,0.37 +- 0.06,0.97 +- 0.13,0.15 +- 0.08,7.5 +- 1.6,1.2 +- 0.7,0.13,
21,685,-20.11,-21.04,1.33,,19.12,31.23 +- 6.69,196 +- 60,1.78 +- 0.54,0.75 +- 0.23,6.3 +- 2.3,0.40 +- 0.01,0.36 +- 0.08,0.54 +- 0.19,0.22 +- 0.13,4.5 +- 1.8,1.8 +- 1.2,0.29,
22,1664,-19.9,-20.97,0.48,0.77 +- 0.38,15.39,26.00 +- 6.15,213 +- 31,2.35 +- 0.34,0.87 +- 0.13,8.2 +- 2.3,0.42 +- 0.01,0.37 +- 0.09,0.54 +- 0.10,0.33 +- 0.07,5.1 +- 1.5,3.1 +- 1.0,0.38,
23,654,-19.88,-20.59,1.35,,14.22,22.74 +- 4.12,45 +- 16,0.50 +- 0.18,0.26 +- 0.09,2.0 +- 0.8,0.05 +- 0.00,0.05 +- 0.01,0.23 +- 0.08,0.04 +- 0.05,1.7 +- 0.7,0.3 +- 0.4,0.15,
24,944,-19.8,-20.66,0.86,1.05 +- 0.38,13.94,29.14 +- 4.88,72 +- 10,0.87 +- 0.12,0.39 +- 0.05,2.5 +- 0.5,0.11 +- 0.01,0.08 +- 0.01,0.25 +- 0.04,0.14 +- 0.03,1.6 +- 0.4,0.9 +- 0.3,0.36,
25,1938,-19.93,-20.86,0.89,1.00 +- 0.40,15.71,24.86 +- 5.50,59.8 +- 9.2,0.64 +- 0.10,0.27 +- 0.04,2.4 +- 0.6,0.12 +- 0.01,0.11 +- 0.02,0.22 +- 0.04,0.05 +- 0.02,1.9 +- 0.5,0.5 +- 0.2,0.19,
26,1279,-19.78,-20.72,0.04,0.47 +- 0.40,13.42,22.03 +- 4.03,58 +- 11,0.72 +- 0.15,0.30 +- 0.06,2.7 +- 0.7,0.13 +- 0.01,0.11 +- 0.02,0.21 +- 0.05,0.09 +- 0.04,1.8 +- 0.6,0.8 +- 0.3,0.3,
