NGVS+0+0.l.g,195,93,1162.9,3.83E-02
NGVS+0+0.l.i,73,109,1606.2,1.03E-01
NGVS+0+0.l.r,185,143,1969,5.66E-02
NGVS+0+0.l.u,109,59,241.4,1.35E-01
NGVS+0+0.l.z,61,167,2338.3,1.96E-01
NGVS+0+0.s.g,3.72,12,20.9,2.01E+00
NGVS+0+0.s.i,1.46,15,33.9,5.15E+00
NGVS+0+0.s.r,1.8,12,20.9,4.17E+00
NGVS+0+0.s.u,4.77,11,18.2,1.57E+00
NGVS+0+0.s.z,0.92,18,45.9,8.14E+00
NGVS+0+1.l.g,193,95,1208.9,3.88E-02
NGVS+0+1.l.i,72,106,1506.4,1.04E-01
NGVS+0+1.l.r,201,143,1866.5,5.47E-02
NGVS+0+1.l.u,111,57,230.8,1.33E-01
NGVS+0+1.l.z,61,174,2540.3,1.95E-01
NGVS+0+1.s.g,3.72,13,23.1,2.02E+00
NGVS+0+1.s.i,1.43,16,36.6,5.23E+00
NGVS+0+1.s.r,2.31,16,27.8,4.12E+00
NGVS+0+1.s.u,5.08,11,17.8,1.48E+00
NGVS+0+1.s.z,0.93,22,69.5,8.10E+00
NGVS+0+2.l.g,194,99,1331.3,3.86E-02
NGVS+0+2.l.i,70,118,1870.2,1.07E-01
NGVS+0+2.l.r,163,146,2037.7,6.41E-02
NGVS+0+2.l.u,126,56,192.3,1.30E-01
NGVS+0+2.l.z,56,166,2510.6,1.95E-01
NGVS+0+2.s.g,3.74,12,22.3,2.01E+00
NGVS+0+2.s.i,1.34,26,91.2,5.60E+00
NGVS+0+2.s.r,1.82,13,24.7,4.12E+00
NGVS+0+2.s.u,4.95,12,20.6,1.52E+00
NGVS+0+2.s.z,0.89,24,79.4,8.44E+00
NGVS+0+3.l.g,193,95,1210.6,3.87E-02
NGVS+0+3.l.i,69,121,1958.8,1.08E-01
NGVS+0+3.l.r,52,78,2031,5.69E-02
NGVS+0+3.l.u,118,62,248.7,1.32E-01
NGVS+0+3.l.z,56,166,2490.1,1.96E-01
NGVS+0+3.s.g,3.74,15,32.7,2.01E+00
NGVS+0+3.s.i,1.38,24,78.9,5.45E+00
NGVS+0+3.s.z,0.89,25,86.6,8.46E+00
NGVS+0+4.l.g,190,100,1335,3.93E-02
NGVS+0+4.l.i,69,117,1828.7,1.08E-01
NGVS+0+4.l.u,130,62,238.7,1.26E-01
NGVS+0+4.l.z,55,201,3648.1,1.99E-01
NGVS+0+4.s.g,3.58,14,27.8,2.10E+00
NGVS+0+4.s.u,4.4,9,13.2,1.70E+00
NGVS+0+4.s.z,0.89,24,83.2,8.41E+00
NGVS+0+5.l.g,183,95,1210.6,4.08E-02
NGVS+0+5.l.i,67,113,1706,1.11E-01
NGVS+0+5.l.u,106,58,226.6,1.41E-01
NGVS+0+5.l.z,55,201,3388,2.16E-01
NGVS+0+5.s.g,3.47,24,79.3,2.16E+00
NGVS+0+5.s.i,1.37,16,37.3,5.47E+00
NGVS+0+5.s.u,4.82,10,16,1.56E+00
NGVS+0+5.s.z,0.9,30,121.7,8.32E+00
NGVS+0+6.l.g,179,91,1110.7,4.18E-02
NGVS+0+6.l.i,72,121,1962.3,1.03E-01
NGVS+0+6.l.u,94,54,223.8,1.43E-01
NGVS+0+6.l.z,56,185,3267.9,1.88E-01
NGVS+0+6.s.g,3.59,16,35.5,2.09E+00
NGVS+0+6.s.z,0.91,24,81.9,8.25E+00
NGVS+0-1.l.g,195,98,1285.1,3.84E-02
NGVS+0-1.l.i,71,117,1829.6,1.05E-01
NGVS+0-1.l.r,103,122,2498.5,5.79E-02
NGVS+0-1.l.u,123,57,199.1,1.34E-01
NGVS+0-1.l.z,50,168,2869.6,1.97E-01
NGVS+0-1.s.g,3.5,15,31.4,2.14E+00
NGVS+0-1.s.i,1.36,13,24.5,5.53E+00
NGVS+0-1.s.u,4.71,12,21.6,1.59E+00
NGVS+0-1.s.z,0.87,30,120.7,8.67E+00
NGVS+0-2.l.g,196,105,1495.4,3.82E-02
NGVS+0-2.l.i,71,122,2017,1.05E-01
NGVS+0-2.l.r,92,103,1802.5,6.49E-02
NGVS+0-2.l.u,124,63,243.1,1.32E-01
NGVS+0-2.l.z,53,181,3150.6,1.96E-01
NGVS+0-2.s.g,3.71,14,27.2,2.02E+00
NGVS+0-2.s.u,4.86,12,20.2,1.54E+00
NGVS+0-2.s.z,0.9,19,51,8.36E+00
NGVS+0-3.l.g,196,88,1047.6,3.82E-02
NGVS+0-3.l.i,72,110,1635.2,1.04E-01
NGVS+0-3.l.u,121,62,237.5,1.36E-01
NGVS+0-3.l.z,56,188,3205.1,1.97E-01
NGVS+0-3.s.g,3.65,13,26.1,2.06E+00
NGVS+0-3.s.i,1.35,19,52.4,5.56E+00
NGVS+0-3.s.u,4.86,11,18.4,1.54E+00
NGVS+0-3.s.z,0.9,19,52.7,8.34E+00
NGVS+0-4.l.g,199,87,1028.8,3.75E-02
NGVS+0-4.l.i,71,115,1768.2,1.04E-01
NGVS+0-4.l.r,164,141,1909,6.37E-02
NGVS+0-4.l.u,125,60,224.5,1.31E-01
NGVS+0-4.l.z,62,179,2693.5,1.91E-01
NGVS+0-4.s.g,3.44,13,24,2.18E+00
NGVS+0-4.s.i,1.35,19,48.8,5.56E+00
NGVS+0-4.s.u,4.68,15,30.1,1.60E+00
NGVS+0-4.s.z,0.94,20,55.9,7.97E+00
NGVS+0-5.l.g,201,90,1094.2,3.73E-02
NGVS+0-5.l.i,72,117,1846.1,1.04E-01
NGVS+0-5.l.r,110,164,2570.1,9.53E-02
NGVS+0-5.l.u,127,61,230.2,1.30E-01
NGVS+0-5.l.z,57,171,2651.2,1.92E-01
NGVS+0-5.s.g,3.64,13,25.7,2.06E+00
NGVS+0-5.s.u,4.58,13,24.8,1.64E+00
NGVS+0-5.s.z,0.94,21,60.4,8.00E+00
NGVS+0-6.l.g,192,103,1435.2,3.90E-02
NGVS+0-6.l.i,70,107,1536.9,1.06E-01
